"year","URL","lat","long","length"
"2020","S71685318",16.8271290696857,-88.9438630833333,64
"2020","S68660489",4.38862689519794,-75.13797234,51
"1997","S74153296",20.1250928858134,99.8524833,58
"2016","S28514430",8.43037859129805,77.2395086,53
"2022","S110832703",10.3877641897145,-73.0560595,57
"2008","S22924758",37.3427786230913,-121.71718401875,57
"2008","S76714931",37.3427786230913,-121.71718401875,51
"1989","S30522516",41.7233015939625,-74.2701497,53
"2020","S75139963",-12.8986920047141,-71.3963342,62
"2021","S95893048",-12.8986920047141,-71.3963342,89
"2021","S98181732",-12.8986920047141,-71.3963342,84
"2022","S102472429",-12.8986920047141,-71.3963342,75
"2022","S103486666",-12.8986920047141,-71.3963342,58
"2022","S105743951",-12.8986920047141,-71.3963342,71
"2018","S44016324",4.3417019952471,-75.622753,74
"1983","S33733686",10.3053582426089,-84.7899489800483,95
"1983","S68436068",10.3053582426089,-84.7899489800483,55
"1988","S86864787",10.3053582426089,-84.7899489800483,64
"1989","S89909454",10.3053582426089,-84.7899489800483,59
"1991","S61077420",10.3053582426089,-84.7899489800483,61
